"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","log2FoldChange","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.825242718446602","9.78290698450607E-4","0.3539518900343642","0.3333333333333333","3","6","false","-1.3035501011869","HSPB3","16.333333333333332","0","3","0","0.9411212026307547","true","0","HSPB3","38","0.4444444444444444"
"2.9223300970873787","0.0023283335105151195","0.34219269102990035","0.0","2","6","false","1.00789412695409","GPR15","16.5","0","2","0","0.9379893517068587","true","0","GPR15","106","0.5166666666666667"
"2.8737864077669903","0.0","0.34797297297297297","1.0","3","6","false","1.40058299701809","MMP10","17.0","0","3","0","0.9395552771688068","true","0","MMP10","0","0.4857142857142857"
"2.7766990291262137","0.0036687201855247153","0.3601398601398601","0.5","9","6","false","1.86228303109105","MMP8","11.88888888888889","0","9","0","0.9426871280927028","true","0","MMP8","218","0.30484330484330485"
"2.4271844660194173","0.0365673354728578","0.41200000000000003","0.2545454545454545","11","5","false","1.66299544120876","MMP7","12.181818181818182","0","11","0","0.9539617914187284","true","0","MMP7","1636","0.2084639498432602"
"2.796116504854369","0.03413717340045153","0.3576388888888889","0.2","5","6","false","1.11383695587498","PIGR","9.8","0","5","0","0.9420607579079237","true","0","PIGR","1048","0.25263157894736843"
"3.7864077669902914","0.0","0.2641025641025641","0.0","1","7","false","-1.2666774040617","CSN1S1","5.0","0","1","0","0.9101158784841842","true","0","CSN1S1","0","0.0"
"2.9029126213592233","0.029584907166803287","0.34448160535117056","0.0","5","6","false","1.44776630445666","TTR","7.8","0","5","0","0.9386157218916379","true","0","TTR","1184","0.23448275862068965"
"3.5242718446601944","4.8226410305222413E-4","0.2837465564738292","0.0","2","7","false","-1.10923612153604","CRYM","10.5","0","2","0","0.9185718759787034","true","0","CRYM","24","0.5588235294117647"
"2.7281553398058254","0.03475382981652651","0.3665480427046263","0.43636363636363634","11","6","false","-1.017638412317","GABRG2","12.090909090909092","0","11","0","0.9442530535546508","true","0","GABRG2","1838","0.29046563192904656"
"2.4174757281553396","0.021939762190774287","0.4136546184738956","0.42424242424242425","12","5","false","-1.41482504736836","NMU","13.5","0","12","0","0.9542749765111181","true","0","NMU","1532","0.23132183908045978"
